from,to,session_id,timestamp
coach,personal,0,2017-09-08 08:36:26.961999872
personal,competition,0,2017-09-08 08:36:53.768999936
competition,coach,0,2017-09-08 08:36:58.555000064
coach,team,0,2017-09-08 08:37:07.880999936
team,coach,0,2017-09-08 08:37:17.601999872
coach,team,0,2017-09-08 08:37:23.156999936
team,coach,0,2017-09-08 08:37:26.510000128
coach,team,0,2017-09-08 08:37:30.551000064
team,routes,0,2017-09-08 08:37:45.630000128
routes,coach,0,2017-09-08 08:37:53.820999936
coach,track,0,2017-09-08 08:37:57.496000000
track,coach,0,2017-09-08 08:47:27.584000000
coach,badges,0,2017-09-08 08:47:40.116999936
badges,competition,0,2017-09-08 08:47:49.396000000
competition,personal,0,2017-09-08 08:48:11.764000000
personal,bugreport,0,2017-09-08 08:48:13.404000000
bugreport,personal,0,2017-09-08 08:48:20.305999872
personal,bugreport,0,2017-09-08 08:49:00.126000128
bugreport,team,0,2017-09-08 08:49:04.552000000
team,competition,0,2017-09-08 08:49:35.371000064
competition,exit,0,2017-09-08 08:49:35.371000064
coach,team,1,2017-09-08 12:53:34.704999936
team,coach,1,2017-09-08 12:53:47.872999936
coach,exit,1,2017-09-08 12:53:47.872999936
team,personal,2,2017-09-08 15:51:14.863000064
personal,team,2,2017-09-08 15:51:26.832000000
team,exit,2,2017-09-08 15:51:26.832000000
coach,personal,3,2017-09-09 08:53:10.392999936
personal,coach,3,2017-09-09 08:53:26.536999936
coach,team,3,2017-09-09 08:53:30.656999936
team,exit,3,2017-09-09 08:53:30.656999936
coach,personal,4,2017-09-09 15:16:40.060000000
personal,coach,4,2017-09-09 15:16:50.392000000
coach,team,4,2017-09-09 15:16:53.191000064
team,exit,4,2017-09-09 15:16:53.191000064
coach,personal,5,2017-09-10 09:38:44.600999936
personal,coach,5,2017-09-10 09:38:58.708000000
coach,team,5,2017-09-10 09:39:00.668000000
team,competition,5,2017-09-10 09:39:16.948999936
competition,exit,5,2017-09-10 09:39:16.948999936
personal,competition,6,2017-09-10 11:41:02.734000128
competition,track,6,2017-09-10 11:41:09.347000064
track,exit,6,2017-09-10 11:41:09.347000064
coach,exit,7,2017-09-10 12:35:44.313999872
track,route,8,2017-09-10 15:28:22.464000000
route,coach,8,2017-09-10 15:28:45.251000064
coach,competition,8,2017-09-10 15:28:55.240999936
competition,coach,8,2017-09-10 15:29:00.296999936
coach,team,8,2017-09-10 15:29:03.273999872
team,exit,8,2017-09-10 15:29:03.273999872
competition,exit,9,2017-09-10 16:46:39.308000000
coach,competition,10,2017-09-11 04:58:45.817999872
competition,coach,10,2017-09-11 04:58:51.025999872
coach,team,10,2017-09-11 04:58:52.657999872
team,exit,10,2017-09-11 04:58:52.657999872
coach,exit,11,2017-09-11 10:05:17.464000000
